Nro Despacho,Fecha,Chofer o Ruta,Comision %,Flete %,Diferencial %,Recargo Total %,
Despacho #1,04/06/2026,RUTA VALERA,4.00%,6.00%,57.00%,67.00%,
Despacho #2,03/06/2026,RUTA VALERA,8.00%,6.00%,60.00%,74.00%,
Despacho #3,20/05/2026,RUTA VALERA,8.00%,6.00%,70.00%,84.00%,
Despacho #4,07/05/2026,RUTA VALERA,8.00%,6.00%,70.00%,84.00%,
Despacho #5,06/05/2026,RUTA VALERA,8.00%,6.00%,70.00%,84.00%,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
ID Producto,Nombre del Producto,Precio Neto (Base),Despacho #1 (2026-06-04) [Recargo +67%],Despacho #2 (2026-06-03) [Recargo +74%],Despacho #3 (2026-05-20) [Recargo +84%],Despacho #4 (2026-05-07) [Recargo +84%],Despacho #5 (2026-05-06) [Recargo +84%]
154,BOLSA MARPLAST 2KG 1 MILLAR,5.0557,8.443,8.7969,9.3025,9.3124,9.3025
212,BOBINA DE BAMBI (3.6 CM X1KG) C-18,4.601,7.6837,8.0057,8.4658,8.4658,8.4658
211,BOBINA DE  BAMBI (3.5CM X1KG) C-18,4.601,7.6837,8.0057,8.4658,8.4658,8.4658
156,BOLSA MARPLAST 5KG 1 MILLAR,10.1115,16.8862,17.594,18.6052,18.6052,18.6052
92,BOLSA BAJA PLANA 22X60 C-3 1 MILLAR,16.4245,27.4289,28.5786,30.2211,30.2211,30.2211
97,BOLSA BAJA PLANA 25X60 C-3 1MILLAR,18.2756,30.5203,31.7995,33.6271,33.6271,33.6271
87,BOLSA BAJA PLANA 20X30 C-3 1 MILLAR,8.6991,14.5275,15.1364,16.0063,16.0063,16.0063
93,BOLSA BAJA PLANA 22X80 C-3  1 MILLAR,21.4321,35.7916,37.2919,39.4351,39.4351,39.4351
134,BOLSA CELOFAN 10X24 1 MILLAR,14.157,23.6422,24.6332,26.0489,26.0489,26.0489
98,BOLSA BAJA PLANA 25X65 C-3 1 MILLAR,19.5489,32.6467,34.0151,35.97,35.97,35.97
